iter	PRAUC	Logloss
0	0.6817038074	0.6877421385
1	0.6999522107	0.6832798644
2	0.713998654	0.677605131
3	0.7174953694	0.6739181453
4	0.7172168186	0.6716299685
5	0.7139077779	0.6696091796
6	0.7124828969	0.6667721196
7	0.7150021572	0.6637912696
8	0.7164833386	0.6610405994
9	0.7179261101	0.6583598594
10	0.7191468542	0.6559401409
11	0.7202284767	0.6538571641
12	0.7236644406	0.6515316831
13	0.7226678824	0.6509036107
14	0.7265941818	0.6485722633
15	0.7283983632	0.6473174047
16	0.7306877177	0.6451260595
17	0.7329174185	0.6428407369
18	0.7342208964	0.6417755972
19	0.7358519134	0.6394114849
20	0.7377712202	0.6372156998
21	0.7406988418	0.635718771
22	0.7429330841	0.6339548918
23	0.7434135106	0.6323210301
24	0.744042571	0.6316089054
25	0.7445850952	0.6304975123
26	0.7462838418	0.6291123731
27	0.7469150815	0.6284637918
28	0.7476523318	0.627004757
29	0.749737661	0.6255090433
30	0.7507572302	0.6244820049
31	0.7529425057	0.6230131593
32	0.7545249311	0.6220371696
33	0.7555953378	0.6212821094
34	0.7591864065	0.6193601483
35	0.7600420848	0.6182138551
36	0.7602407913	0.6175247477
37	0.762012446	0.6166072577
38	0.7624764747	0.6159704937
39	0.7640878233	0.6150718611
40	0.7647864293	0.6144339473
41	0.7658141429	0.6138258505
42	0.766935615	0.6125852053
43	0.7672254242	0.6116996729
44	0.7684289428	0.6109472877
45	0.7692748562	0.6102562015
46	0.7705658107	0.6093552497
47	0.7716051941	0.608759476
48	0.773048504	0.6078693011
49	0.7736223932	0.6068751095
50	0.7758254384	0.6054688293
51	0.7767441174	0.60457129
52	0.7777078033	0.6038052967
53	0.7781516535	0.6032747523
54	0.7790060872	0.602711353
55	0.7798952869	0.6021906366
56	0.7803661945	0.6014194225
57	0.7803896043	0.6014073034
58	0.7812870407	0.6006991533
59	0.7821906697	0.5998112594
60	0.7822367722	0.5997515589
61	0.7830323372	0.5989897723
62	0.7841603795	0.5979716369
63	0.7850492619	0.5972141045
64	0.7857003073	0.5964572603
65	0.7869794656	0.595508245
66	0.7882379397	0.5946431673
67	0.7885173546	0.593962386
68	0.7889836952	0.5935241618
69	0.789508698	0.5927344446
70	0.7903150461	0.5919654981
71	0.7905063196	0.59188248
72	0.7915128058	0.5912130272
73	0.7922353631	0.5906275651
74	0.7925343474	0.5903033236
75	0.7932977124	0.5895096254
76	0.7937974299	0.5891039732
77	0.7938270822	0.5890503376
78	0.7937731203	0.5890391086
79	0.7941776806	0.5885083694
80	0.7948991985	0.587415213
81	0.7952666348	0.5871367317
82	0.7958984938	0.5864494638
83	0.7962311997	0.5859424243
84	0.7965625433	0.5855198462
85	0.7970631363	0.5850210527
86	0.7981870305	0.5842776069
87	0.7988484902	0.58361029
88	0.798911988	0.5832980754
89	0.7995717104	0.582422015
90	0.800504318	0.5816428635
91	0.8003915859	0.5811816961
92	0.802119911	0.5799023266
93	0.8028318428	0.5792703307
94	0.8032964305	0.5788018225
95	0.8043407872	0.5782049948
96	0.8043299353	0.5780391844
97	0.8045987669	0.5776623391
98	0.804773882	0.5774157463
99	0.805598301	0.576860411
100	0.8058528141	0.5766398714
101	0.8067478402	0.5756758093
102	0.8071107381	0.5750942581
103	0.8076742341	0.5746741841
104	0.8082488648	0.574116599
105	0.8086623273	0.5737730673
106	0.8096168754	0.5727792103
107	0.8103472495	0.5721267815
108	0.8103643865	0.5721078159
109	0.81113165	0.5713033335
110	0.8113089939	0.5707881942
111	0.8117327408	0.5702849664
112	0.8118571248	0.5700615543
113	0.8124937048	0.5694885758
114	0.8125732161	0.5691626212
115	0.8127661237	0.5687888219
116	0.8131908371	0.5684304926
117	0.8132107264	0.5683595924
118	0.8141581378	0.5677866928
119	0.8147536357	0.5671888615
120	0.8152970574	0.5666093514
121	0.8159627726	0.5660978126
122	0.8165905004	0.5656348599
123	0.8170741899	0.5652042518
124	0.8173946131	0.5649140413
125	0.8181920759	0.5643202623
126	0.8186710444	0.5638520563
127	0.8188646316	0.5636442342
128	0.8196243877	0.5631263745
129	0.8196290864	0.5628811846
130	0.8196470651	0.5625224521
131	0.8202741754	0.5620405783
132	0.8211594672	0.5613855034
133	0.8215978902	0.5610005968
134	0.8221210274	0.560251254
135	0.8227059326	0.5597619642
136	0.822881461	0.5593591845
137	0.8232987067	0.558992137
138	0.8235627961	0.5584862687
139	0.8241717279	0.5579292095
140	0.8245714691	0.5574610408
141	0.8251378218	0.5568705547
142	0.8254461389	0.5565508207
143	0.825821537	0.556161014
144	0.8263847057	0.5556802962
145	0.8269158317	0.5551741444
146	0.8276540398	0.5544535908
147	0.8283926773	0.5538469077
148	0.8286388473	0.5535267817
149	0.8289423621	0.5532798208
150	0.8292385683	0.5528177735
151	0.8299325955	0.5522747075
152	0.8303482386	0.5518432139
153	0.8306152678	0.5514043398
154	0.8309132821	0.5510897918
155	0.8311620677	0.5508730886
156	0.8314151082	0.5506927573
157	0.8320105526	0.5502920951
158	0.8328107092	0.5496922778
159	0.8331110414	0.5493389733
160	0.8334880456	0.5490337317
