iter	Passed	Remaining
0	4	1724
1	8	1723
2	12	1695
3	16	1615
4	18	1467
5	21	1379
6	25	1407
7	30	1478
8	33	1468
9	37	1467
10	41	1458
11	44	1454
12	48	1438
13	50	1396
14	54	1387
15	58	1400
16	63	1433
17	66	1418
18	71	1434
19	75	1429
20	79	1432
21	83	1427
22	86	1418
23	90	1416
24	94	1411
25	98	1419
26	102	1418
27	106	1412
28	110	1409
29	114	1408
30	117	1398
31	120	1387
32	124	1385
33	127	1374
34	131	1368
35	135	1367
36	138	1359
37	141	1352
38	145	1346
39	148	1339
40	152	1333
41	155	1325
42	158	1317
43	162	1314
44	166	1311
45	170	1313
46	174	1308
47	177	1300
48	180	1293
49	183	1285
50	186	1278
51	190	1273
52	193	1267
53	197	1264
54	200	1256
55	203	1251
56	207	1246
57	209	1236
58	212	1228
59	215	1222
60	218	1212
61	221	1208
62	224	1202
63	229	1202
64	232	1200
65	236	1197
66	240	1194
67	243	1189
68	246	1183
69	250	1178
70	253	1175
71	256	1169
72	259	1163
73	263	1159
74	266	1153
75	270	1151
76	273	1146
77	275	1137
78	277	1127
79	280	1122
80	284	1119
81	287	1115
82	291	1113
83	295	1110
84	298	1107
85	301	1101
86	305	1097
87	308	1093
88	311	1089
89	315	1085
90	318	1079
91	321	1075
92	324	1071
93	328	1069
94	331	1065
95	336	1064
96	339	1059
97	343	1057
98	346	1054
99	351	1054
100	355	1051
101	358	1047
102	361	1043
103	364	1038
104	368	1034
105	371	1030
106	374	1026
107	377	1021
108	380	1014
109	383	1010
110	386	1006
111	390	1003
112	393	999
113	397	995
114	400	991
115	403	988
116	406	984
117	409	978
118	412	974
119	415	970
120	419	966
121	422	962
122	425	958
123	429	955
124	433	952
125	437	950
126	440	946
127	443	942
128	446	938
129	450	935
130	453	931
131	457	928
132	460	924
133	464	921
134	467	917
135	472	916
136	476	913
137	480	911
138	483	907
139	486	903
140	489	899
141	493	896
142	497	893
143	500	889
144	504	886
145	507	882
146	511	880
147	514	876
148	517	871
149	521	868
150	524	864
151	527	861
152	532	859
153	535	855
154	539	852
155	543	849
156	546	846
157	550	842
158	554	840
159	558	837
160	561	833
161	566	832
162	569	828
163	573	824
164	576	821
165	578	815
166	581	811
167	584	807
168	588	804
169	592	801
170	596	798
171	598	793
172	601	789
173	604	785
174	608	781
175	611	778
176	614	774
177	618	771
178	621	767
179	625	763
180	628	760
181	631	756
182	634	752
183	637	748
184	641	745
185	644	741
186	648	738
187	651	734
188	654	730
189	657	726
190	660	723
191	664	720
192	667	716
193	671	712
194	674	709
195	678	706
196	681	702
197	684	698
198	687	694
199	691	691
200	694	687
201	698	684
202	701	680
203	705	677
204	708	674
205	712	670
206	715	667
207	719	663
208	722	660
209	726	656
210	729	653
211	732	649
212	735	646
213	739	642
214	742	639
215	746	635
216	749	632
217	752	628
218	756	624
219	759	621
220	763	618
221	766	614
222	770	611
223	773	608
224	777	604
225	781	601
226	784	598
227	789	595
228	792	591
229	796	588
230	799	585
231	803	581
232	807	578
233	810	575
234	814	571
235	817	568
236	820	564
237	824	561
238	828	557
239	832	555
240	836	552
241	840	548
242	844	545
243	848	542
244	851	538
245	855	535
246	858	531
247	862	528
248	865	525
249	869	521
250	873	518
251	877	515
252	880	511
253	884	508
254	888	505
255	892	501
256	895	498
257	898	494
258	901	490
259	905	487
260	908	483
261	911	480
262	916	477
263	919	473
264	922	470
265	926	466
266	929	462
267	932	459
268	936	455
269	939	452
270	943	448
271	946	445
272	949	441
273	953	438
274	956	434
275	959	431
276	962	427
277	966	424
278	970	420
279	973	417
280	976	413
281	980	410
282	983	406
283	987	403
284	991	399
285	994	396
286	998	393
287	1001	389
288	1005	386
289	1008	382
290	1012	379
291	1015	375
292	1019	372
293	1022	368
294	1027	365
295	1030	362
296	1033	358
297	1037	355
298	1040	351
299	1044	348
300	1047	344
301	1050	341
302	1054	337
303	1058	334
304	1061	330
305	1065	327
306	1068	323
307	1072	320
308	1075	316
309	1078	313
310	1081	309
311	1085	306
312	1088	302
313	1091	299
314	1095	295
315	1099	292
316	1103	288
317	1107	285
318	1110	282
319	1114	278
320	1117	274
321	1121	271
322	1125	268
323	1128	264
324	1132	261
325	1135	257
326	1139	254
327	1142	250
328	1146	247
329	1149	243
330	1154	240
331	1157	237
332	1160	233
333	1164	230
334	1167	226
335	1171	223
336	1175	219
337	1178	216
338	1182	212
339	1185	209
340	1189	205
341	1192	202
342	1195	198
343	1199	195
344	1203	191
345	1206	188
346	1210	184
347	1214	181
348	1217	177
349	1221	174
350	1224	170
351	1228	167
352	1231	163
353	1234	160
354	1238	157
355	1242	153
356	1245	150
357	1248	146
358	1252	142
359	1255	139
360	1258	135
361	1261	132
362	1264	128
363	1268	125
364	1271	121
365	1274	118
366	1278	114
367	1281	111
368	1285	107
369	1288	104
370	1292	101
371	1295	97
372	1298	94
373	1301	90
374	1305	87
375	1309	83
376	1312	80
377	1316	76
378	1319	73
379	1323	69
380	1327	66
381	1331	62
382	1336	59
383	1340	55
384	1344	52
385	1347	48
386	1351	45
387	1355	41
388	1358	38
389	1362	34
390	1365	31
391	1368	27
392	1371	24
393	1375	20
394	1378	17
395	1382	13
396	1386	10
397	1389	6
398	1392	3
399	1395	0
